STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-17,0.00,65,76,59
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-18,0.00,64,75,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-19,0.00,65,73,59
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-20,0.00,64,73,60
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-21,0.00,64,71,59
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-22,0.00,63,73,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-23,0.00,62,73,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-24,0.00,62,71,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-25,0.00,62,69,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-26,0.00,62,77,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-27,0.00,67,88,59
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-28,0.00,70,89,60
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-29,0.00,66,75,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-30,0.00,62,71,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-08-31,0.00,63,74,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-09-01,0.00,62,71,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-09-02,0.00,61,69,57
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-09-03,0.00,61,67,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-09-04,0.00,60,73,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-09-05,0.00,60,78,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-09-06,0.00,63,82,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-09-07,0.00,65,75,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-09-08,0.00,65,75,60
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-09-09,0.00,62,69,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-09-10,0.00,62,68,59
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-09-11,0.00,62,70,57
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-09-12,0.00,62,75,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-09-13,0.00,63,72,58
